    m_X_0 (eV)    |g_eg_n|
    1.000E+00     1.483E-13
    1.259E+00     1.483E-13
    1.585E+00     1.483E-13
    1.995E+00     1.483E-13
    2.512E+00     1.483E-13
    3.162E+00     1.483E-13
    3.981E+00     1.483E-13
    5.012E+00     1.483E-13
    6.310E+00     1.483E-13
    7.943E+00     1.483E-13
    1.000E+01     1.483E-13
    1.259E+01     1.483E-13
    1.585E+01     1.483E-13
    1.995E+01     1.483E-13
    2.512E+01     1.483E-13
    3.162E+01     1.483E-13
    3.981E+01     1.484E-13
    5.012E+01     1.484E-13
    6.310E+01     1.484E-13
    7.943E+01     1.485E-13
    1.000E+02     1.486E-13
    1.259E+02     1.488E-13
    1.585E+02     1.490E-13
    1.995E+02     1.494E-13
    2.512E+02     1.500E-13
    3.162E+02     1.510E-13
    3.981E+02     1.522E-13
    5.012E+02     1.542E-13
    6.310E+02     1.571E-13
    7.943E+02     1.614E-13
    1.000E+03     1.675E-13
    1.259E+03     1.758E-13
    1.585E+03     1.875E-13
    1.995E+03     2.037E-13
    2.512E+03     2.259E-13
    3.162E+03     2.559E-13
    3.981E+03     2.979E-13
    5.012E+03     3.556E-13
    6.310E+03     4.365E-13
    7.943E+03     5.495E-13
    1.000E+04     7.096E-13
    1.259E+04     9.419E-13
    1.585E+04     1.279E-12
    1.995E+04     1.778E-12
    2.512E+04     2.523E-12
    3.162E+04     3.639E-12
    3.981E+04     5.346E-12
    5.012E+04     7.943E-12
    6.310E+04     1.197E-11
    7.943E+04     1.820E-11
    1.000E+05     2.793E-11
    1.259E+05     4.325E-11
    1.585E+05     6.792E-11
    1.995E+05     1.081E-10
    2.512E+05     1.762E-10
    3.162E+05     2.979E-10
    3.981E+05     5.346E-10
    5.012E+05     1.069E-09
    6.310E+05     2.655E-09
    7.943E+05     1.472E-08
    1.000E+06     1.641E-08
