    m_X_0 (eV)    |g_eg_n|
    1.000E+00     1.940E-13
    1.259E+00     1.940E-13
    1.585E+00     1.940E-13
    1.995E+00     1.940E-13
    2.512E+00     1.940E-13
    3.162E+00     1.940E-13
    3.981E+00     1.940E-13
    5.012E+00     1.940E-13
    6.310E+00     1.940E-13
    7.943E+00     1.940E-13
    1.000E+01     1.940E-13
    1.259E+01     1.940E-13
    1.585E+01     1.940E-13
    1.995E+01     1.940E-13
    2.512E+01     1.940E-13
    3.162E+01     1.940E-13
    3.981E+01     1.940E-13
    5.012E+01     1.941E-13
    6.310E+01     1.941E-13
    7.943E+01     1.942E-13
    1.000E+02     1.944E-13
    1.259E+02     1.946E-13
    1.585E+02     1.949E-13
    1.995E+02     1.954E-13
    2.512E+02     1.962E-13
    3.162E+02     1.974E-13
    3.981E+02     1.991E-13
    5.012E+02     2.018E-13
    6.310E+02     2.056E-13
    7.943E+02     2.113E-13
    1.000E+03     2.188E-13
    1.259E+03     2.301E-13
    1.585E+03     2.455E-13
    1.995E+03     2.661E-13
    2.512E+03     2.951E-13
    3.162E+03     3.350E-13
    3.981E+03     3.899E-13
    5.012E+03     4.656E-13
    6.310E+03     5.702E-13
    7.943E+03     7.178E-13
    1.000E+04     9.290E-13
    1.259E+04     1.233E-12
    1.585E+04     1.675E-12
    1.995E+04     2.328E-12
    2.512E+04     3.296E-12
    3.162E+04     4.764E-12
    3.981E+04     6.982E-12
    5.012E+04     1.040E-11
    6.310E+04     1.563E-11
    7.943E+04     2.377E-11
    1.000E+05     3.656E-11
    1.259E+05     5.662E-11
    1.585E+05     8.872E-11
    1.995E+05     1.413E-10
    2.512E+05     2.307E-10
    3.162E+05     3.899E-10
    3.981E+05     6.998E-10
    5.012E+05     1.396E-09
    6.310E+05     3.467E-09
    7.943E+05     1.928E-08
    1.000E+06     1.256E-08
