    m_X_0 (eV)    |g_eg_p|
    1.000E+00     6.745E-10
    1.259E+00     4.416E-10
    1.585E+00     2.911E-10
    1.995E+00     1.936E-10
    2.512E+00     1.309E-10
    3.162E+00     8.913E-11
    3.981E+00     6.310E-11
    5.012E+00     4.467E-11
    6.310E+00     3.311E-11
    7.943E+00     2.570E-11
    1.000E+01     1.995E-11
    1.259E+01     1.660E-11
    1.585E+01     1.413E-11
    1.995E+01     1.288E-11
    2.512E+01     1.148E-11
    3.162E+01     1.072E-11
    3.981E+01     9.772E-12
    5.012E+01     8.710E-12
    6.310E+01     7.413E-12
    7.943E+01     6.166E-12
    1.000E+02     4.898E-12
    1.259E+02     3.802E-12
    1.585E+02     2.951E-12
    1.995E+02     2.291E-12
    2.512E+02     1.778E-12
    3.162E+02     1.380E-12
    3.981E+02     1.122E-12
    5.012E+02     9.120E-13
    6.310E+02     7.762E-13
    7.943E+02     6.607E-13
    1.000E+03     6.026E-13
    1.259E+03     5.495E-13
    1.585E+03     5.370E-13
    1.995E+03     5.495E-13
    2.512E+03     5.754E-13
    3.162E+03     6.457E-13
    3.981E+03     7.413E-13
    5.012E+03     8.913E-13
    6.310E+03     1.096E-12
    7.943E+03     1.413E-12
    1.000E+04     1.862E-12
    1.259E+04     2.512E-12
    1.585E+04     3.467E-12
    1.995E+04     4.898E-12
    2.512E+04     6.918E-12
    3.162E+04     1.000E-11
    3.981E+04     1.479E-11
    5.012E+04     2.188E-11
    6.310E+04     3.311E-11
    7.943E+04     5.012E-11
    1.000E+05     7.762E-11
    1.259E+05     1.189E-10
    1.585E+05     1.845E-10
    1.995E+05     2.871E-10
    2.512E+05     4.498E-10
    3.162E+05     7.079E-10
    3.981E+05     1.122E-09
    5.012E+05     1.786E-09
    6.310E+05     2.877E-09
    7.943E+05     4.688E-09
    1.000E+06     7.745E-09
