    m_X_0 (eV)    |g_eg_p|
    1.000E+00     7.762E-10
    1.259E+00     5.070E-10
    1.585E+00     3.342E-10
    1.995E+00     2.234E-10
    2.512E+00     1.510E-10
    3.162E+00     1.038E-10
    3.981E+00     7.244E-11
    5.012E+00     5.248E-11
    6.310E+00     3.890E-11
    7.943E+00     3.020E-11
    1.000E+01     2.399E-11
    1.259E+01     1.995E-11
    1.585E+01     1.778E-11
    1.995E+01     1.622E-11
    2.512E+01     1.585E-11
    3.162E+01     1.585E-11
    3.981E+01     1.622E-11
    5.012E+01     1.698E-11
    6.310E+01     1.698E-11
    7.943E+01     1.660E-11
    1.000E+02     1.514E-11
    1.259E+02     1.318E-11
    1.585E+02     1.096E-11
    1.995E+02     8.710E-12
    2.512E+02     6.918E-12
    3.162E+02     5.495E-12
    3.981E+02     4.365E-12
    5.012E+02     3.548E-12
    6.310E+02     2.951E-12
    7.943E+02     2.512E-12
    1.000E+03     2.188E-12
    1.259E+03     1.995E-12
    1.585E+03     1.905E-12
    1.995E+03     1.950E-12
    2.512E+03     2.042E-12
    3.162E+03     2.239E-12
    3.981E+03     2.570E-12
    5.012E+03     3.090E-12
    6.310E+03     3.802E-12
    7.943E+03     4.898E-12
    1.000E+04     6.457E-12
    1.259E+04     8.710E-12
    1.585E+04     1.175E-11
    1.995E+04     1.660E-11
    2.512E+04     2.399E-11
    3.162E+04     3.467E-11
    3.981E+04     5.012E-11
    5.012E+04     7.586E-11
    6.310E+04     1.135E-10
    7.943E+04     1.726E-10
    1.000E+05     2.642E-10
    1.259E+05     4.074E-10
    1.585E+05     6.310E-10
    1.995E+05     9.840E-10
    2.512E+05     1.542E-09
    3.162E+05     2.427E-09
    3.981E+05     3.837E-09
    5.012E+05     6.124E-09
    6.310E+05     9.863E-09
    7.943E+05     1.607E-08
    1.000E+06     2.655E-08
